dataset_id,variant_id,step_order,step_category,operation,parameters,source,confidence
srivatsan2020,srivatsan_perturbench,2,gene metadata,map Ensembl to human symbols,restrict mapped human genes and drop duplicates,PerturBench curation notebook,high
srivatsan2020,srivatsan_perturbench,3,cell filtering,retain main human lines and highest dose,A549/K562/MCF7; 10uM or controls,PerturBench curation notebook,high
srivatsan2020,srivatsan_perturbench,4,HVG selection,run common selected-gene pipeline,4000 HVG plus DE and perturbed genes,PerturBench common pipeline,high
mcfaline2024,mcfaline_author,1,source acquisition,read GEO UMI matrices and annotations,GSE225775,author GEO metadata,high
mcfaline2024,mcfaline_author,2,guide assignment,match guide reads to whitelist,Hamming distance <=2; guide UMI counts,author GEO metadata,high
mcfaline2024,mcfaline_author,3,context assignment,decode nuclear hashes and RT barcodes,drug/dose/line/replicate,author GEO metadata,high
mcfaline2024,mcfaline_perturbench,1,source acquisition,concatenate GEO-derived files,,PerturBench curation notebook,high
mcfaline2024,mcfaline_perturbench,2,control relabeling,collapse NA NTC and random controls,control,PerturBench curation notebook,high
mcfaline2024,mcfaline_perturbench,3,perturbation filtering,retain single-gene perturbations only,drop combinations,PerturBench curation notebook,high
mcfaline2024,mcfaline_perturbench,4,condition filtering,remove temozolomide and thioguanine; minimum group size,min_cells_per_perturbation_context=20,PerturBench curation notebook,high
mcfaline2024,mcfaline_perturbench,5,HVG selection,run common selected-gene pipeline,4000 HVG plus DE and perturbed genes,PerturBench common pipeline,high
perturbase,perturbase_general,1,cell QC,filter cells,min_genes=200,PerturBase preData source,high
perturbase,perturbase_general,2,gene QC,filter genes,min_cells=3,PerturBase preData source,high
perturbase,perturbase_general,3,mitochondrial filtering,filter cells,percent_mito<10%; relax to 15% if more than half fail,PerturBase preData source,high
perturbase,perturbase_general,4,perturbation filtering,filter small perturbation groups,min_cells=30 except CTRL,PerturBase preData source,high
perturbase,perturbase_general,5,normalization,total normalize then log1p,target_sum=10000,PerturBase preData source,high
perturbase,perturbase_denoised,6,HVG selection,select HVGs,up to 4000,PerturBase denoising source,high
perturbase,perturbase_denoised,7,dimensional reduction,PCA neighbors UMAP Leiden,,PerturBase denoising source,high
perturbase,perturbase_denoised,8,responder analysis,PertPy Mixscape and NP-cell filtering,strong perturbation if KO fraction>=0.2,PerturBase denoising source,high
